,d_model,d_ff,num_layers,num_heads,training_forward_time_mean,training_forward_time_std,training_backward_time_mean,training_backward_time_std,inference_forward_time_mean,inference_forward_time_std
0,768,3072,12,12,0.02891275639997275,0.0001541009851947004,0.04418977880001194,0.0001693136306708876,,
1,1024,4096,24,16,0.05742271859999164,0.00015884060275286825,0.26597448979998717,0.00021476267572923205,,
2,1280,5120,36,20,0.1504834202999973,0.00010092287558776085,0.5917105526,0.0001274210511419503,,
