,d_model,d_ff,num_layers,num_heads,training_forward_time_mean,training_forward_time_std,training_backward_time_mean,training_backward_time_std,inference_forward_time_mean,inference_forward_time_std
0,768,3072,12,12,0.02856041960001221,6.759360225514217e-05,0.029286316599973362,0.0003135394248419589,,
1,1024,4096,24,16,0.05674000509998223,8.457355258343512e-05,0.053124914100067144,0.0001766104537882873,,
2,1280,5120,36,20,0.08701175249998414,0.0002776239529697351,0.1215616573999796,0.00011022096606263241,,
3,1600,6400,48,25,0.11322290369998882,0.001568483277847399,0.2810047934000067,0.0007443774189773997,,
4,2560,10240,32,32,0.09679425060003269,4.5633302962432887e-05,0.4497138100000484,0.00014842385145685317,,
