,d_model,d_ff,num_layers,num_heads,training_forward_time_mean,training_forward_time_std,training_backward_time_mean,training_backward_time_std,inference_forward_time_mean,inference_forward_time_std
0,768,3072,12,12,0.02889531230011926,0.0001972405942011251,0.029719196000087322,0.0002747090822586667,,
1,1024,4096,24,16,0.06644558030016015,0.02513014382910549,0.05852759149997837,0.00044241101101322714,,
2,1280,5120,36,20,0.0856423096999606,0.00035764492068493785,0.1217355091999707,0.00014033866233956695,,
3,1600,6400,48,25,0.11352001989998825,0.0005358533870054522,0.2823167684000964,0.0003843434795721806,,
4,2560,10240,32,32,0.09690777090004303,6.189701286663134e-05,0.4502442875999805,0.00014128156741321775,,
