,d_model,d_ff,num_layers,num_heads,training_forward_time_mean,training_forward_time_std,training_backward_time_mean,training_backward_time_std,inference_forward_time_mean,inference_forward_time_std
0,768,3072,12,12,0.0786076250999713,0.14878868360389727,0.043399201600027484,0.04120667152135993,,
1,1024,4096,24,16,0.06450903430004473,0.018588078487854227,0.05862596070001018,0.0032172810475355226,,
2,1280,5120,36,20,0.08871846309998546,0.014163138729895958,0.12075209679999262,0.0010323472907832153,,
3,1600,6400,48,25,0.1172053990999757,0.013735181930139017,0.2854774328999838,0.008751867134858897,,
4,2560,10240,32,32,0.12106819150003503,0.05011012956109789,0.47246744330002455,0.04613659290965558,,
